Pclass,Survived,Name,Sex,Age
3,0,"Johansson, Mr. Erik",male,22
3,0,"Johansson, Mr. Gustaf Joel",male,33
3,0,"Johansson, Mr. Karl Johan",male,31
3,0,"Johansson, Mr. Nils",male,29
3,1,"Johnson, Master. Harold Theodor",male,4
3,1,"Johnson, Miss. Eleanor Ileen",female,1
3,0,"Johnson, Mr. Alfred",male,49
3,0,"Johnson, Mr. Malkolm Joackim",male,33
3,0,"Johnson, Mr. William Cahoone Jr",male,19
3,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27
3,0,"Johnston, Master. William Arthur ""Willie""",male,
3,0,"Johnston, Miss. Catherine Helen ""Carrie""",female,
3,0,"Johnston, Mr. Andrew G",male,
3,0,"Johnston, Mrs. Andrew G (Elizabeth ""Lily"" Watson)",female,
3,0,"Jonkoff, Mr. Lalio",male,23
3,1,"Jonsson, Mr. Carl",male,32
3,0,"Jonsson, Mr. Nils Hilding",male,27
3,0,"Jussila, Miss. Katriina",female,20
3,0,"Jussila, Miss. Mari Aina",female,21
3,1,"Jussila, Mr. Eiriik",male,32
3,0,"Kallio, Mr. Nikolai Erland",male,17
3,0,"Kalvik, Mr. Johannes Halvorsen",male,21
3,0,"Karaic, Mr. Milan",male,30
3,1,"Karlsson, Mr. Einar Gervasius",male,21
3,0,"Karlsson, Mr. Julius Konrad Eugen",male,33
3,0,"Karlsson, Mr. Nils August",male,22
3,1,"Karun, Miss. Manca",female,4
3,1,"Karun, Mr. Franz",male,39
3,0,"Kassem, Mr. Fared",male,
3,0,"Katavelas, Mr. Vassilios (""Catavelas Vassilios"")",male,18.5
3,0,"Keane, Mr. Andrew ""Andy""",male,
3,0,"Keefe, Mr. Arthur",male,
3,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,
3,1,"Kelly, Miss. Mary",female,
3,0,"Kelly, Mr. James",male,34.5
3,0,"Kelly, Mr. James",male,44
3,1,"Kennedy, Mr. John",male,
3,0,"Khalil, Mr. Betros",male,
